movie_id,movie_name,date
0,The Shawshank Redemption,2023-06-03 17:32:20.753198
1,The Godfather,2023-06-03 17:32:20.753198
2,The Dark Knight,2023-06-03 17:32:20.753198
3,The Godfather Part II,2023-06-03 17:32:20.753198
4,12 Angry Men,2023-06-03 17:32:20.753198
5,Schindler's List,2023-06-03 17:32:20.753198
6,The Lord of the Rings: The Return of the King,2023-06-03 17:32:20.753198
7,Pulp Fiction,2023-06-03 17:32:20.753198
8,The Lord of the Rings: The Fellowship of the Ring,2023-06-03 17:32:20.753198
9,"Il buono, il brutto, il cattivo",2023-06-03 17:32:20.753198
10,Forrest Gump,2023-06-03 17:32:20.753198
11,Fight Club,2023-06-03 17:32:20.753198
12,The Lord of the Rings: The Two Towers,2023-06-03 17:32:20.753198
13,Inception,2023-06-03 17:32:20.753198
14,Star Wars: Episode V - The Empire Strikes Back,2023-06-03 17:32:20.753198
15,The Matrix,2023-06-03 17:32:20.753198
16,GoodFellas,2023-06-03 17:32:20.753198
17,One Flew Over the Cuckoo's Nest,2023-06-03 17:32:20.753198
18,Se7en,2023-06-03 17:32:20.753198
19,It's a Wonderful Life,2023-06-03 17:32:20.753198
20,Shichinin no samurai,2023-06-03 17:32:20.753198
21,The Silence of the Lambs,2023-06-03 17:32:20.753198
22,Saving Private Ryan,2023-06-03 17:32:20.753198
23,Cidade de Deus,2023-06-03 17:32:20.753198
24,Interstellar,2023-06-03 17:32:20.753198
25,La vita è bella,2023-06-03 17:32:20.753198
26,The Green Mile,2023-06-03 17:32:20.753198
27,Star Wars,2023-06-03 17:32:20.753198
28,Terminator 2: Judgment Day,2023-06-03 17:32:20.753198
29,Back to the Future,2023-06-03 17:32:20.753198
30,Sen to Chihiro no kamikakushi,2023-06-03 17:32:20.753198
31,The Pianist,2023-06-03 17:32:20.753198
32,Psycho,2023-06-03 17:32:20.753198
33,Gisaengchung,2023-06-03 17:32:20.753198
34,Léon,2023-06-03 17:32:20.753198
35,Gladiator,2023-06-03 17:32:20.753198
36,The Lion King,2023-06-03 17:32:20.753198
37,American History X,2023-06-03 17:32:20.753198
38,The Departed,2023-06-03 17:32:20.753198
39,Whiplash,2023-06-03 17:32:20.753198
40,The Prestige,2023-06-03 17:32:20.753198
41,The Usual Suspects,2023-06-03 17:32:20.753198
42,Casablanca,2023-06-03 17:32:20.753198
43,Hotaru no haka,2023-06-03 17:32:20.753198
44,Seppuku,2023-06-03 17:32:20.753198
45,The Intouchables,2023-06-03 17:32:20.753198
46,Modern Times,2023-06-03 17:32:20.753198
47,Once Upon a Time in the West,2023-06-03 17:32:20.753198
48,Nuovo Cinema Paradiso,2023-06-03 17:32:20.753198
49,Rear Window,2023-06-03 17:32:20.753198
50,Alien,2023-06-03 17:32:20.753198
51,City Lights,2023-06-03 17:32:20.753198
52,Apocalypse Now,2023-06-03 17:32:20.753198
53,Memento,2023-06-03 17:32:20.753198
54,Django Unchained,2023-06-03 17:32:20.753198
55,Raiders of the Lost Ark,2023-06-03 17:32:20.753198
56,WALL·E,2023-06-03 17:32:20.753198
57,The Lives of Others,2023-06-03 17:32:20.753198
58,Sunset Blvd.,2023-06-03 17:32:20.753198
59,Paths of Glory,2023-06-03 17:32:20.753198
60,The Shining,2023-06-03 17:32:20.753198
61,The Great Dictator,2023-06-03 17:32:20.753198
62,Avengers: Infinity War,2023-06-03 17:32:20.753198
63,Witness for the Prosecution,2023-06-03 17:32:20.753198
64,Spider-Man: Into the Spider-Verse,2023-06-03 17:32:20.753198
65,Aliens,2023-06-03 17:32:20.753198
66,American Beauty,2023-06-03 17:32:20.753198
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,2023-06-03 17:32:20.753198
68,The Dark Knight Rises,2023-06-03 17:32:20.753198
69,Inglourious Basterds,2023-06-03 17:32:20.753198
70,Oldeuboi,2023-06-03 17:32:20.753198
71,Amadeus,2023-06-03 17:32:20.753198
72,Coco,2023-06-03 17:32:20.753198
73,Toy Story,2023-06-03 17:32:20.753198
74,Braveheart,2023-06-03 17:32:20.753198
75,Das Boot,2023-06-03 17:32:20.753198
76,Joker,2023-06-03 17:32:20.753198
77,Avengers: Endgame,2023-06-03 17:32:20.753198
