,hash,date,pcr_test_positive,pcr_test_negative,positiveIncrease,negativeIncrease,pending,hospitalizedCurrently,hospitalizedIncrease,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,totalTestResults,totalTestResultsIncrease,death,deathIncrease
0,a80d0063822e251249fd9a44730c49cb23defd83,20210307,28756489.0,74582825.0,41835,131835,11808.0,40199.0,726,776361.0,8134.0,45475.0,2802.0,4281.0,363825123,1170059,515151.0,842
1,dae5e558c24adb86686bbd58c08cce5f610b8bb0,20210306,28714654.0,74450990.0,60015,143835,11783.0,41401.0,503,775635.0,8409.0,45453.0,2811.0,4280.0,362655064,1430992,514309.0,1680
2,724844c01659d0103801c57c0f72bf8cc8ab025c,20210305,28654639.0,74307155.0,68787,271917,12213.0,42541.0,2781,775132.0,8634.0,45373.0,2889.0,4275.0,361224072,1744417,512629.0,2221
3,5c549ad30f9abf48dc5de36d20fa707014be1ff3,20210304,28585852.0,74035238.0,65487,177957,12405.0,44172.0,1530,772351.0,8970.0,45293.0,2973.0,4267.0,359479655,1590984,510408.0,1743
4,fef6c425d2b773a9221fe353f13852f3e4a4bfb0,20210303,28520365.0,73857281.0,66836,267001,11778.0,45462.0,2172,770821.0,9359.0,45214.0,3094.0,4260.0,357888671,1406795,508665.0,2449
5,f90cfd6129805f923153eb8da22a86b75eedf8fd,20210302,28453529.0,73590280.0,54248,255779,11196.0,46388.0,1871,768649.0,9465.0,45084.0,3169.0,4257.0,356481876,1343519,506216.0,1728
6,fe110199c554cbfbc73cba70a79f621483b58633,20210301,28399281.0,73334501.0,48092,118077,11748.0,46738.0,1024,766778.0,9595.0,44956.0,3171.0,4252.0,355138357,1154440,504488.0,1241
7,e6707b320942dd3747d8bf8f6d9eb3df51d3eb9b,20210228,28351189.0,73216424.0,54349,203599,11708.0,47352.0,879,765754.0,9802.0,44907.0,3245.0,4252.0,353983917,1408422,503247.0,1051
8,d147391f796f2e12e030e88d732e1fcc3332ba0f,20210227,28296840.0,73012825.0,71245,205090,11731.0,48871.0,1428,764875.0,10114.0,44875.0,3335.0,4252.0,352575495,1655179,502196.0,1847
9,a8e3b540b405af9291478478833507c9150982c9,20210226,28225595.0,72807735.0,74857,276829,11945.0,51112.0,1868,763447.0,10466.0,44791.0,3466.0,4247.0,350920316,1803309,500349.0,2141
10,96567c9224d9e2421005b20d7661d5f698e84ee2,20210225,28150738.0,72530906.0,75565,272209,11813.0,52669.0,2047,761579.0,10846.0,44636.0,3567.0,4240.0,349117007,1826144,498208.0,3138
11,cb5e30469bb5fa9c8cc57419f854444b7085752d,20210224,28075173.0,72258697.0,73258,245318,12548.0,54118.0,2172,759532.0,11026.0,44534.0,3685.0,4227.0,347290863,1450666,495070.0,2447
12,b160cc76a55eb46ad84fee0ed21f3f11ff575c07,20210223,28001915.0,72013379.0,69105,225267,11200.0,55058.0,2164,757360.0,11272.0,44420.0,3755.0,4214.0,345840197,1193835,492623.0,2241
13,953907208abbebaa0ed863696371a8aaee01875b,20210222,27932810.0,71788112.0,52530,123611,9499.0,55403.0,1305,755196.0,11536.0,44266.0,3804.0,4200.0,344646362,1201247,490382.0,1235
