movie_name,movie_rating,date
The Shawshank Redemption,9.2,2023-06-04 11:22:23.011800
The Godfather,9.2,2023-06-04 11:22:23.011800
The Dark Knight,9.0,2023-06-04 11:22:23.011800
The Godfather Part II,9.0,2023-06-04 11:22:23.011800
12 Angry Men,9.0,2023-06-04 11:22:23.011800
Schindler's List,8.9,2023-06-04 11:22:23.011800
The Lord of the Rings: The Return of the King,8.9,2023-06-04 11:22:23.011800
Pulp Fiction,8.8,2023-06-04 11:22:23.011800
The Lord of the Rings: The Fellowship of the Ring,8.8,2023-06-04 11:22:23.011800
"Il buono, il brutto, il cattivo",8.8,2023-06-04 11:22:23.011800
Forrest Gump,8.8,2023-06-04 11:22:23.011800
Fight Club,8.7,2023-06-04 11:22:23.011800
The Lord of the Rings: The Two Towers,8.7,2023-06-04 11:22:23.011800
Inception,8.7,2023-06-04 11:22:23.011800
Star Wars: Episode V - The Empire Strikes Back,8.7,2023-06-04 11:22:23.011800
The Matrix,8.7,2023-06-04 11:22:23.011800
GoodFellas,8.7,2023-06-04 11:22:23.011800
One Flew Over the Cuckoo's Nest,8.6,2023-06-04 11:22:23.011800
Spider-Man: Across the Spider-Verse,8.6,2023-06-04 11:22:23.011800
Se7en,8.6,2023-06-04 11:22:23.011800
It's a Wonderful Life,8.6,2023-06-04 11:22:23.011800
Shichinin no samurai,8.6,2023-06-04 11:22:23.011800
The Silence of the Lambs,8.6,2023-06-04 11:22:23.011800
Saving Private Ryan,8.6,2023-06-04 11:22:23.011800
Cidade de Deus,8.6,2023-06-04 11:22:23.011800
Interstellar,8.6,2023-06-04 11:22:23.011800
La vita è bella,8.6,2023-06-04 11:22:23.011800
The Green Mile,8.6,2023-06-04 11:22:23.011800
Star Wars,8.5,2023-06-04 11:22:23.011800
Terminator 2: Judgment Day,8.5,2023-06-04 11:22:23.011800
Back to the Future,8.5,2023-06-04 11:22:23.011800
Sen to Chihiro no kamikakushi,8.5,2023-06-04 11:22:23.011800
The Pianist,8.5,2023-06-04 11:22:23.011800
Psycho,8.5,2023-06-04 11:22:23.011800
Gisaengchung,8.5,2023-06-04 11:22:23.011800
Léon,8.5,2023-06-04 11:22:23.011800
Gladiator,8.5,2023-06-04 11:22:23.011800
The Lion King,8.5,2023-06-04 11:22:23.011800
American History X,8.5,2023-06-04 11:22:23.011800
The Departed,8.5,2023-06-04 11:22:23.011800
Whiplash,8.5,2023-06-04 11:22:23.011800
The Prestige,8.5,2023-06-04 11:22:23.011800
The Usual Suspects,8.5,2023-06-04 11:22:23.011800
Casablanca,8.5,2023-06-04 11:22:23.011800
Hotaru no haka,8.5,2023-06-04 11:22:23.011800
Seppuku,8.5,2023-06-04 11:22:23.011800
The Intouchables,8.5,2023-06-04 11:22:23.011800
Modern Times,8.4,2023-06-04 11:22:23.011800
Once Upon a Time in the West,8.4,2023-06-04 11:22:23.011800
Nuovo Cinema Paradiso,8.4,2023-06-04 11:22:23.011800
Rear Window,8.4,2023-06-04 11:22:23.011800
Alien,8.4,2023-06-04 11:22:23.011800
City Lights,8.4,2023-06-04 11:22:23.011800
Apocalypse Now,8.4,2023-06-04 11:22:23.011800
Memento,8.4,2023-06-04 11:22:23.011800
Django Unchained,8.4,2023-06-04 11:22:23.011800
Raiders of the Lost Ark,8.4,2023-06-04 11:22:23.011800
WALL·E,8.4,2023-06-04 11:22:23.011800
The Lives of Others,8.4,2023-06-04 11:22:23.011800
Sunset Blvd.,8.4,2023-06-04 11:22:23.011800
Paths of Glory,8.4,2023-06-04 11:22:23.011800
The Shining,8.4,2023-06-04 11:22:23.011800
The Great Dictator,8.4,2023-06-04 11:22:23.011800
Avengers: Infinity War,8.4,2023-06-04 11:22:23.011800
Witness for the Prosecution,8.4,2023-06-04 11:22:23.011800
Spider-Man: Into the Spider-Verse,8.3,2023-06-04 11:22:23.011800
Aliens,8.3,2023-06-04 11:22:23.011800
American Beauty,8.3,2023-06-04 11:22:23.011800
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,2023-06-04 11:22:23.011800
The Dark Knight Rises,8.3,2023-06-04 11:22:23.011800
Inglourious Basterds,8.3,2023-06-04 11:22:23.011800
Oldeuboi,8.3,2023-06-04 11:22:23.011800
Amadeus,8.3,2023-06-04 11:22:23.011800
Coco,8.3,2023-06-04 11:22:23.011800
Toy Story,8.3,2023-06-04 11:22:23.011800
Braveheart,8.3,2023-06-04 11:22:23.011800
Das Boot,8.3,2023-06-04 11:22:23.011800
Joker,8.3,2023-06-04 11:22:23.011800
Avengers: Endgame,8.3,2023-06-04 11:22:23.011800
Mononoke-hime,8.3,2023-06-04 11:22:23.011800
Good Will Hunting,8.3,2023-06-04 11:22:23.011800
Once Upon a Time in America,8.3,2023-06-04 11:22:23.011800
Kimi no na wa.,8.3,2023-06-04 11:22:23.011800
3 Idiots,8.3,2023-06-04 11:22:23.011800
Singin' in the Rain,8.3,2023-06-04 11:22:23.011800
Tengoku to jigoku,8.3,2023-06-04 11:22:23.011800
Requiem for a Dream,8.3,2023-06-04 11:22:23.011800
Toy Story 3,8.3,2023-06-04 11:22:23.011800
Capharnaüm,8.3,2023-06-04 11:22:23.011800
Star Wars: Episode VI - Return of the Jedi,8.3,2023-06-04 11:22:23.011800
2001: A Space Odyssey,8.3,2023-06-04 11:22:23.011800
Eternal Sunshine of the Spotless Mind,8.3,2023-06-04 11:22:23.011800
Idi i smotri,8.3,2023-06-04 11:22:23.011800
Jagten,8.3,2023-06-04 11:22:23.011800
Reservoir Dogs,8.3,2023-06-04 11:22:23.011800
Lawrence of Arabia,8.2,2023-06-04 11:22:23.011800
Citizen Kane,8.2,2023-06-04 11:22:23.011800
M - Eine Stadt sucht einen Mörder,8.2,2023-06-04 11:22:23.011800
Ikiru,8.2,2023-06-04 11:22:23.011800
North by Northwest,8.2,2023-06-04 11:22:23.011800
Vertigo,8.2,2023-06-04 11:22:23.011800
The Apartment,8.2,2023-06-04 11:22:23.011800
Le fabuleux destin d'Amélie Poulain,8.2,2023-06-04 11:22:23.011800
Double Indemnity,8.2,2023-06-04 11:22:23.011800
A Clockwork Orange,8.2,2023-06-04 11:22:23.011800
Full Metal Jacket,8.2,2023-06-04 11:22:23.011800
Scarface,8.2,2023-06-04 11:22:23.011800
Incendies,8.2,2023-06-04 11:22:23.011800
Heat,8.2,2023-06-04 11:22:23.011800
Hamilton,8.2,2023-06-04 11:22:23.011800
Up,8.2,2023-06-04 11:22:23.011800
To Kill a Mockingbird,8.2,2023-06-04 11:22:23.011800
The Sting,8.2,2023-06-04 11:22:23.011800
Jodaeiye Nader az Simin,8.2,2023-06-04 11:22:23.011800
Metropolis,8.2,2023-06-04 11:22:23.011800
Die Hard,8.2,2023-06-04 11:22:23.011800
L.A. Confidential,8.2,2023-06-04 11:22:23.011800
Indiana Jones and the Last Crusade,8.2,2023-06-04 11:22:23.011800
Taxi Driver,8.2,2023-06-04 11:22:23.011800
Snatch,8.2,2023-06-04 11:22:23.011800
Ladri di biciclette,8.2,2023-06-04 11:22:23.011800
Taare Zameen Par,8.2,2023-06-04 11:22:23.011800
1917,8.2,2023-06-04 11:22:23.011800
Top Gun: Maverick,8.2,2023-06-04 11:22:23.011800
Der Untergang,8.2,2023-06-04 11:22:23.011800
Dangal,8.2,2023-06-04 11:22:23.011800
Per qualche dollaro in più,8.2,2023-06-04 11:22:23.011800
Batman Begins,8.2,2023-06-04 11:22:23.011800
The Kid,8.2,2023-06-04 11:22:23.011800
Some Like It Hot,8.2,2023-06-04 11:22:23.011800
The Father,8.2,2023-06-04 11:22:23.011800
The Wolf of Wall Street,8.2,2023-06-04 11:22:23.011800
All About Eve,8.2,2023-06-04 11:22:23.011800
Green Book,8.2,2023-06-04 11:22:23.011800
Judgment at Nuremberg,8.2,2023-06-04 11:22:23.011800
Ran,8.2,2023-06-04 11:22:23.011800
Casino,8.2,2023-06-04 11:22:23.011800
The Truman Show,8.2,2023-06-04 11:22:23.011800
There Will Be Blood,8.2,2023-06-04 11:22:23.011800
Pan's Labyrinth,8.2,2023-06-04 11:22:23.011800
Unforgiven,8.2,2023-06-04 11:22:23.011800
Shutter Island,8.2,2023-06-04 11:22:23.011800
The Sixth Sense,8.2,2023-06-04 11:22:23.011800
Jurassic Park,8.2,2023-06-04 11:22:23.011800
A Beautiful Mind,8.2,2023-06-04 11:22:23.011800
Yôjinbô,8.1,2023-06-04 11:22:23.011800
The Treasure of the Sierra Madre,8.1,2023-06-04 11:22:23.011800
Monty Python and the Holy Grail,8.1,2023-06-04 11:22:23.011800
No Country for Old Men,8.1,2023-06-04 11:22:23.011800
Kill Bill: Vol. 1,8.1,2023-06-04 11:22:23.011800
The Great Escape,8.1,2023-06-04 11:22:23.011800
Rashômon,8.1,2023-06-04 11:22:23.011800
The Thing,8.1,2023-06-04 11:22:23.011800
Finding Nemo,8.1,2023-06-04 11:22:23.011800
Spider-Man: No Way Home,8.1,2023-06-04 11:22:23.011800
The Elephant Man,8.1,2023-06-04 11:22:23.011800
Chinatown,8.1,2023-06-04 11:22:23.011800
Guardians of the Galaxy Vol. 3,8.1,2023-06-04 11:22:23.011800
Raging Bull,8.1,2023-06-04 11:22:23.011800
V for Vendetta,8.1,2023-06-04 11:22:23.011800
Gone with the Wind,8.1,2023-06-04 11:22:23.011800
Dial M for Murder,8.1,2023-06-04 11:22:23.011800
"Lock, Stock and Two Smoking Barrels",8.1,2023-06-04 11:22:23.011800
Hauru no ugoku shiro,8.1,2023-06-04 11:22:23.011800
Inside Out,8.1,2023-06-04 11:22:23.011800
El secreto de sus ojos,8.1,2023-06-04 11:22:23.011800
"Three Billboards Outside Ebbing, Missouri",8.1,2023-06-04 11:22:23.011800
Prisoners,8.1,2023-06-04 11:22:23.011800
Trainspotting,8.1,2023-06-04 11:22:23.011800
The Bridge on the River Kwai,8.1,2023-06-04 11:22:23.011800
Fargo,8.1,2023-06-04 11:22:23.011800
Warrior,8.1,2023-06-04 11:22:23.011800
Gran Torino,8.1,2023-06-04 11:22:23.011800
Catch Me If You Can,8.1,2023-06-04 11:22:23.011800
Tonari no Totoro,8.1,2023-06-04 11:22:23.011800
Million Dollar Baby,8.1,2023-06-04 11:22:23.011800
Bacheha-Ye aseman,8.1,2023-06-04 11:22:23.011800
The Gold Rush,8.1,2023-06-04 11:22:23.011800
Blade Runner,8.1,2023-06-04 11:22:23.011800
Klaus,8.1,2023-06-04 11:22:23.011800
Harry Potter and the Deathly Hallows: Part 2,8.1,2023-06-04 11:22:23.011800
Before Sunrise,8.1,2023-06-04 11:22:23.011800
12 Years a Slave,8.1,2023-06-04 11:22:23.011800
The Grand Budapest Hotel,8.1,2023-06-04 11:22:23.011800
Ben-Hur,8.1,2023-06-04 11:22:23.011800
On the Waterfront,8.1,2023-06-04 11:22:23.011800
Gone Girl,8.1,2023-06-04 11:22:23.011800
The General,8.1,2023-06-04 11:22:23.011800
Barry Lyndon,8.1,2023-06-04 11:22:23.011800
Smultronstället,8.1,2023-06-04 11:22:23.011800
In the Name of the Father,8.1,2023-06-04 11:22:23.011800
The Deer Hunter,8.1,2023-06-04 11:22:23.011800
Hacksaw Ridge,8.1,2023-06-04 11:22:23.011800
The Third Man,8.1,2023-06-04 11:22:23.011800
Salinui chueok,8.1,2023-06-04 11:22:23.011800
Le salaire de la peur,8.1,2023-06-04 11:22:23.011800
Sherlock Jr.,8.1,2023-06-04 11:22:23.011800
Relatos salvajes,8.1,2023-06-04 11:22:23.011800
Mr. Smith Goes to Washington,8.1,2023-06-04 11:22:23.011800
Mad Max: Fury Road,8.1,2023-06-04 11:22:23.011800
Mary and Max.,8.1,2023-06-04 11:22:23.011800
Dead Poets Society,8.1,2023-06-04 11:22:23.011800
"Monsters, Inc.",8.1,2023-06-04 11:22:23.011800
How to Train Your Dragon,8.1,2023-06-04 11:22:23.011800
Det sjunde inseglet,8.1,2023-06-04 11:22:23.011800
Jaws,8.1,2023-06-04 11:22:23.011800
Room,8.1,2023-06-04 11:22:23.011800
The Big Lebowski,8.1,2023-06-04 11:22:23.011800
Tôkyô monogatari,8.1,2023-06-04 11:22:23.011800
Ford v Ferrari,8.1,2023-06-04 11:22:23.011800
La passion de Jeanne d'Arc,8.0,2023-06-04 11:22:23.011800
Hotel Rwanda,8.0,2023-06-04 11:22:23.011800
Rocky,8.0,2023-06-04 11:22:23.011800
Ratatouille,8.0,2023-06-04 11:22:23.011800
Platoon,8.0,2023-06-04 11:22:23.011800
Logan,8.0,2023-06-04 11:22:23.011800
Spotlight,8.0,2023-06-04 11:22:23.011800
The Terminator,8.0,2023-06-04 11:22:23.011800
Stand by Me,8.0,2023-06-04 11:22:23.011800
Rush,8.0,2023-06-04 11:22:23.011800
Before Sunset,8.0,2023-06-04 11:22:23.011800
Network,8.0,2023-06-04 11:22:23.011800
The Wizard of Oz,8.0,2023-06-04 11:22:23.011800
Into the Wild,8.0,2023-06-04 11:22:23.011800
The Best Years of Our Lives,8.0,2023-06-04 11:22:23.011800
The Exorcist,8.0,2023-06-04 11:22:23.011800
Groundhog Day,8.0,2023-06-04 11:22:23.011800
The Incredibles,8.0,2023-06-04 11:22:23.011800
La haine,8.0,2023-06-04 11:22:23.011800
To Be or Not to Be,8.0,2023-06-04 11:22:23.011800
Pirates of the Caribbean: The Curse of the Black Pearl,8.0,2023-06-04 11:22:23.011800
Hachi: A Dog's Tale,8.0,2023-06-04 11:22:23.011800
The Grapes of Wrath,8.0,2023-06-04 11:22:23.011800
La battaglia di Algeri,8.0,2023-06-04 11:22:23.011800
Jai Bhim,8.0,2023-06-04 11:22:23.011800
Pather Panchali,8.0,2023-06-04 11:22:23.011800
Amores perros,8.0,2023-06-04 11:22:23.011800
Babam ve Oglum,8.0,2023-06-04 11:22:23.011800
Ah-ga-ssi,8.0,2023-06-04 11:22:23.011800
Rebecca,8.0,2023-06-04 11:22:23.011800
Cool Hand Luke,8.0,2023-06-04 11:22:23.011800
The Sound of Music,8.0,2023-06-04 11:22:23.011800
Les quatre cents coups,8.0,2023-06-04 11:22:23.011800
It Happened One Night,8.0,2023-06-04 11:22:23.011800
Persona,8.0,2023-06-04 11:22:23.011800
Life of Brian,8.0,2023-06-04 11:22:23.011800
The Iron Giant,8.0,2023-06-04 11:22:23.011800
The Help,8.0,2023-06-04 11:22:23.011800
Aladdin,8.0,2023-06-04 11:22:23.011800
Dances with Wolves,8.0,2023-06-04 11:22:23.011800
